task_title,task_description,location,materials,constraints,categories,skills_required,primary_type,group_or_solo,special_elements,alex_horne_role,series,episode,task_id,weirdness_score,creativity_required_score,physical_demand_score,technical_difficulty_score,entertainment_value_score,time_pressure_score,preparation_possible_score,luck_factor_score,task_unique_id,show_title,standardized_location,location_category,standardized_task_type,standardized_group_solo,std_weirdness_score,std_creativity_required_score,std_physical_demand_score,std_technical_difficulty_score,std_entertainment_value_score,std_time_pressure_score,std_preparation_possible_score,std_luck_factor_score
Get the potato into the golf hole,Contestants were required to get a potato into a golf hole while adhering to specific constraints. The task involved maneuvering the potato without touching a designated 'red green' area around the hole.,"The task took place outdoors on the grounds of the Taskmaster house, specifically on a lawn area with a marked 'red green' and a visible golf hole.","['A standard potato', 'A golf hole set in the ground', ""A marked 'red green' area surrounding the hole""]","[""Contestants could not touch the 'red green' area."", 'The task had to be completed in the shortest time possible.', 'Only the potato was to be manipulated; no external objects or tools could be used.', 'Touching the red green resulted in disqualification.']","['Physical', 'Time-based', 'Precision', 'Problem-solving']","['Precision and control', 'Lateral thinking', 'Quick decision-making', 'Self-control', 'Ingenuity']",physical,solo,[],"Alex served as the task administrator and enforcer of rules, ensuring adherence to the constraints.",2,1,40,7,6,4,5,9,7,2,6,2_1_40,Taskmaster UK,Garden,Outside House,Physical,Solo,8,7,4,5,9,6,3,2
Find out about the Swedish person,"Contestants were required to obtain specific information from a Swedish individual named Fred. The challenge was that Fred could not speak or write in English, meaning contestants had to rely on other methods to communicate and extract the necessary information.","The task took place in the Taskmaster house, specifically in a room set up for interviews.",['Fred the Swede'],"['Contestants had to gather information without Fred speaking English.', 'There was likely a time limit, although the exact limit is not specified.']","['Communication-based', 'Mental challenge', 'Cultural interpretation', 'Time-based']","['Interpersonal communication', 'Creative problem-solving', 'Patience and perseverance', 'Ability to interpret non-verbal cues']",Mental,solo,['Involved non-verbal communication and language interpretation.'],"Alex's role was likely as a facilitator and observer, ensuring rules were followed.",2,1,41,7,8,1,4,7,6,2,3,2_1_41,Taskmaster UK,Other,Other Locations,Mental,Solo,8,7,2,6,8,5,4,3
Pack a suitcase,"In this live task, contestants were required to pack a suitcase with various items to reach as close to a target weight of 23kg as possible. The task was performed simultaneously by all contestants in front of a live studio audience.",Studio,"['A suitcase', 'Various items to pack', 'A scale to weigh the packed suitcase']","['Pack the suitcase as close to 23kg as possible without exceeding it', 'Time was a factor as it was performed live']","['Estimation', 'Weight judgment', 'Strategic thinking', 'Time-based']","['Estimation skills', 'Quick decision-making', 'Strategic packing', 'Basic understanding of weights']",Mental,Solo,[],"Alex Horne acted as the Taskmaster's assistant, overseeing the task and assisting with weighing the suitcases.",2,1,42,4,5,3,4,7,8,2,3,2_1_42,Taskmaster UK,Studio,Studio/Stage,Physical,Solo,4,5,3,2,7,8,3,2
The trendiest item of clothing,Contestants were instructed to bring in what they believed was the trendiest item of clothing they owned. This was a prize task where the contestants presented their chosen items to be judged by Taskmaster Greg Davies.,Studio,"[""Contestants' own item of clothing""]","[""The item should be considered 'trendiest' by the contestant""]","['Fashion', 'Humor', 'Presentation', 'Subjective judgment']","['Creativity', 'Self-awareness', 'Persuasion', 'Sense of humor']",Performance-based,Solo,['Involved elements of fashion selection and comedic presentation'],Alex introduced the task and facilitated the studio segment.,2,2,43,5,7,1,2,8,3,9,3,2_2_43,Taskmaster UK,Studio,Studio/Stage,Performance-based,Solo,7,9,2,3,8,4,3,2
Quickly Eat an Egg,"The contestants were instructed to eat an egg as quickly as possible. They could choose to consume it raw or cook it first. The task was timed, and the fastest contestant to eat the entire egg won.",The task took place in the Taskmaster lab.,"['Single raw egg in its shell', 'Eggcup', 'Access to a kitchen']","['The contestants had to eat the entire egg, not just the white or yolk.', 'The task was timed, with the fastest time winning.', 'Leaving substantial egg uneaten could affect scoring.']","['Food-related', 'Time-based', 'Mental fortitude']","['Willingness to eat a raw egg without hesitation', 'Quick decision-making', 'Speed in execution', 'Tolerance for unpleasant textures or tastes']",mental,solo,"[""personal challenge, similar to a 'dare'""]","Alex Horne was the task presenter, providing guidance and support.",2,2,44,8,3,2,2,8,7,1,1,2_2_44,Taskmaster UK,Lab,Inside House,Physical,Solo,8,2,5,3,7,9,4,2
Make the best music video for a nursery rhyme.,"Contestants were instructed to create a music video for a nursery rhyme of their choice. They could either use a traditional nursery rhyme or compose an original one. The task required integrating music, video production, and performance elements to create an engaging and entertaining music video within a set time limit.",The task was conducted in the Taskmaster house/studio environment.,"['Video recording equipment', 'Costumes', 'Props available at the house', 'Additional materials gathered within the hour']","['Time constraint: 1 hour to complete the task.', 'Creative freedom in selecting/creating nursery rhymes and in video concept development.']","['Art', 'Performance', 'Time-based', 'Creative writing', 'Video production']","['Creative thinking and writing', 'Video production skills', 'Performance and acting', 'Time management', 'Musical composition']",artistic,solo,"['Singing', 'Composing', 'Acting', 'Video production']","Alex Horne provided instructions and assistance, and was featured in Richard Osman's pre-video advert.",2,2,45,7,9,3,6,9,8,2,2,2_2_45,Taskmaster UK,Lab,Inside House,Creative,Mixed,7,9,4,6,8,7,3,5
A photo of an object that looks like you,Contestants were required to find an inanimate object and take a photo of it if it looked like them. The goal was to have the object bear a resemblance to the contestant.,"The task likely took place at the Taskmaster house or a similar venue, as exactly specified in the script. The task was executed individually and not shown to be constrained by a specific location within the episode.",['Camera'],"['The object had to be inanimate', 'The resemblance needed to be present in the photo']","['Artistic', 'Humorous', 'Visual Perception', 'Creative', 'Self-reflective']","['Creativity', 'Self-awareness', 'Photographic skills', 'Humor', 'Perception']",artistic,solo,"['Involves humor and self-reflection, as contestants must find humor in how they resemble an object.']",Alex Horne likely provided the task instructions and was involved in judging the outcomes.,2,2,46,7,8,2,3,8,4,2,5,2_2_46,Taskmaster UK,Other,Other Locations,Creative,Solo,8,9,2,4,7,5,3,2
Order a Pizza Without Using Certain Words,"Contestants are required to order a specific pizza for the Taskmaster without using eight specified words. The pizza needed to be an extra-large vegetarian with pepperoni and bacon, without tomato and cheese. A bonus point was available if the contestant could make the pizza worker say the word 'bubbles.'",Taskmaster 'lab',"['A phone to call the pizza restaurant', 'A list of the forbidden words', 'A silent alarm lightbulb that lights up if a forbidden word is used']","['Cannot use the words: extra, large, vegetarian, pizza, pepperoni, bacon, tomato, cheese.', 'Scoring was based on accuracy of the order, not on adherence to the word restrictions.', ""Bonus point for making the pizza worker say 'bubbles'.""]","['Verbal Dexterity', 'Food-related', 'Social Interaction', 'Mental Challenge']","['Verbal Creativity', 'Lateral Thinking', 'Social Skills', 'Memory and Focus']",Mental challenge,Solo,"[""Involved a bonus challenge to make someone say a specific word ('bubbles').""]","Task presenter and rule enforcer, ensuring the task is carried out correctly.",2,2,47,8,9,1,6,9,5,2,4,2_2_47,Taskmaster UK,Lab,Inside House,Mental,Solo,9,8,2,4,7,5,3,2
Put Potatoes in a Basket,"Contestants were tasked with using oversized chopsticks to pick up potatoes and place them into a basket. They were only allowed to hold the chopsticks by the designated grip areas, and only the chopsticks could touch the potatoes. The contestant who placed the most potatoes in their basket within 100 seconds was the winner.",Studio,"['Giant oversized chopsticks with designated grip areas', 'Multiple potatoes', 'A wicker basket for each contestant']","['Contestants could only hold the chopsticks by the designated grip areas.', 'Only the chopsticks were allowed to touch the potatoes.', 'The task had a strict 100-second time limit.', 'Success was measured by the number of potatoes successfully placed in the basket.']","['Physical', 'Time-based', 'Dexterity', 'Problem-solving']","['Dexterity', 'Hand-eye coordination', 'Strategic planning', 'Time management']",Physical,Solo,[],"Alex Horne introduced the task and clarified the rules, ensuring contestants adhered to the constraints.",2,2,48,7,5,6,7,8,9,2,3,2_2_48,Taskmaster UK,Lab,Inside House,Physical,Solo,8,5,7,4,8,9,3,2
The Best Dinner Party Guest,"Contestants were tasked with bringing in the best possible guest to a dinner party. This guest could be real, hypothetical, represented by an object, or a person themselves. The choice of guest was to be presented in the studio, and the winner was determined based on which guest Taskmaster Greg Davies deemed the most fitting for a dinner party.",Studio,[],"[""Contestants could choose any 'guest' they wished, real or hypothetical."", 'The guest did not need to be physically present; contestants could bring a picture, a story, or an object representing their guest.', 'Judged by Taskmaster Greg Davies.']","['Creativity', 'Social Strategy', 'Humor', 'Presentation']","['Creativity: Thinking outside the box to select a unique guest.', 'Persuasion: Convincing Greg Davies of the merit of their choice.', 'Humor: Presenting the guest in an entertaining manner.', 'Social Intelligence: Understanding what makes a guest interesting.']",performance,solo,['Involved elements of persuasion and humor in presenting the choice.'],"Co-host and facilitator, introducing the task and providing commentary.",2,3,49,6,9,1,1,8,3,7,2,2_3_49,Taskmaster UK,Lab,Inside House,Performance-based,Solo,8,9,2,3,10,5,3,2
Impress the Mayor,"Contestants were given 20 minutes to impress the Mayor of Chesham, Peter Hudson. They could use any means at their disposal, whether through performance, bribery, or creativity, to leave a lasting impression on the mayor.",The task took place in the Council's chamber of Chesham Town Hall.,"['piano', 'ice lollies', 'lager', 'cash']","['Time limit of 20 minutes.', ""Open interpretation of 'impress.'"", 'Limited to resources available in the Town Hall or what they brought.']","['Performance-based', 'Creativity-driven', 'Time-based']","['Creativity and originality', 'Performance skills (musical, comedic, oratory)', 'Quick thinking and improvisation', 'Audience engagement and understanding']",Performance-based,solo,"['singing', 'rapping', 'juggling', 'comedic elements']",Alex Horne introduced the task and facilitated interactions with the contestants.,2,3,50,6,9,2,3,8,7,4,3,2_3_50,Taskmaster UK,Public Location,Other Locations,Performance-based,Solo,8,9,4,5,10,7,3,2
